"Name","Perf/rating","Perf/rating_error"
"eval_16384_(hv[768]→1024)x2→32→1",115.1,8.6
"eval_16384_(hv[768]→512)x2→32→1",106.6,7.4
"eval_16384_(hv[768]→2048)x2→32→1",102.1,9.1
"eval_16384_(hv[768]→256)x2→32→1",89.8,7.3
"eval_16384_(hv[768]→1024)x2→64→1",52.5,7.7
"eval_16384_(hv[768]→512)x2→64→1",50.7,8.2
"eval_16384_(hv[768]→2048)x2→64→1",29.3,7.2
"eval_16384_(hv[768]→256)x2→64→1",16.5,7.4
"eval_16384_(hv[768]→512)x2→128→1",12.4,7.0
"eval_16384_(hv[768]→1024)x2→128→1",-19.5,8.6
"eval_16384_(hv[768]→256)x2→128→1",-42.8,7.6
"eval_16384_(hv[768]→256)x2→256→1",-65.5,7.5
"eval_16384_(hv[768]→512)x2→256→1",-68.9,8.6
"eval_16384_(hv[768]→2048)x2→128→1",-77.5,7.1
"eval_16384_(hv[768]→1024)x2→256→1",-112.1,8.6
"eval_16384_(hv[768]→2048)x2→256→1",-188.8,8.2
