"Name","Perf/rating","Perf/rating_error"
"256-1-eval_16384_(h+v[192]→512)x2→32→1",9.5,5.5
"256-4-eval_16384_(h+v[192]→512)x2→32→1",7.4,5.2
"192-3-eval_16384_(h+v[192]→512)x2→32→1",4.8,4.8
"256-3-eval_16384_(h+v[192]→512)x2→32→1",2.4,5.4
"192-2-eval_16384_(h+v[192]→512)x2→32→1",-2.6,5.4
"192-4-eval_16384_(h+v[192]→512)x2→32→1",-6.3,4.9
"256-2-eval_16384_(h+v[192]→512)x2→32→1",-6.5,5.1
"192-1-eval_16384_(h+v[192]→512)x2→32→1",-8.6,5.2
"256-1-eval_16384_(d1+d2[360]→512)x2→32→1",13.5,4.6
"192-1-eval_16384_(d1+d2[360]→512)x2→32→1",2.1,4.3
"256-2-eval_16384_(d1+d2[360]→512)x2→32→1",-0.5,5.0
"192-4-eval_16384_(d1+d2[360]→512)x2→32→1",-0.9,5.3
"256-3-eval_16384_(d1+d2[360]→512)x2→32→1",-1.6,5.3
"192-2-eval_16384_(d1+d2[360]→512)x2→32→1",-3.9,5.1
"256-4-eval_16384_(d1+d2[360]→512)x2→32→1",-4.0,5.0
"192-3-eval_16384_(d1+d2[360]→512)x2→32→1",-4.7,4.8
"256-2-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",15.4,4.7
"192-2-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",7.2,5.0
"192-4-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",5.7,5.0
"256-3-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",5.2,4.4
"192-3-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",0.1,5.3
"256-4-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",-1.2,4.5
"192-1-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",-14.3,4.9
"256-1-eval_16384_(h+v+d1+d2[552]→512)x2→32→1",-18.1,4.3
"256-3-eval_16384_(hv[768]→512)x2→32→1",10.4,5.1
"256-2-eval_16384_(hv[768]→512)x2→32→1",10.1,5.4
"256-1-eval_16384_(hv[768]→512)x2→32→1",4.6,4.4
"256-4-eval_16384_(hv[768]→512)x2→32→1",1.6,4.8
"192-1-eval_16384_(hv[768]→512)x2→32→1",-2.9,4.7
"192-2-eval_16384_(hv[768]→512)x2→32→1",-4.2,5.0
"192-4-eval_16384_(hv[768]→512)x2→32→1",-9.6,5.0
"192-3-eval_16384_(hv[768]→512)x2→32→1",-10.0,5.2
"192-2-eval_16384_(hv+h+v[960]→512)x2→32→1",12.9,4.8
"256-1-eval_16384_(hv+h+v[960]→512)x2→32→1",9.0,6.0
"256-2-eval_16384_(hv+h+v[960]→512)x2→32→1",7.1,5.5
"256-3-eval_16384_(hv+h+v[960]→512)x2→32→1",2.3,5.5
"192-1-eval_16384_(hv+h+v[960]→512)x2→32→1",1.0,4.8
"256-4-eval_16384_(hv+h+v[960]→512)x2→32→1",-7.6,4.4
"192-4-eval_16384_(hv+h+v[960]→512)x2→32→1",-10.1,4.9
"192-3-eval_16384_(hv+h+v[960]→512)x2→32→1",-14.6,5.1
"256-2-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",12.0,4.7
"192-2-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",8.6,4.3
"256-3-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",7.9,3.9
"256-1-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",1.7,4.5
"192-3-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",-3.1,4.9
"192-1-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",-5.0,4.4
"192-4-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",-6.1,4.5
"256-4-eval_16384_(hv+d1+d2[1128]→512)x2→32→1",-16.0,4.4
"256-3-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",9.5,4.6
"256-4-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",8.5,4.6
"192-3-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",6.5,4.8
"256-1-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",4.3,4.6
"256-2-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",-0.6,4.8
"192-4-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",-2.9,5.4
"192-2-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",-6.6,4.6
"192-1-eval_16384_(hv+h+v+d1+d2[1320]→512)x2→32→1",-18.7,4.9
