"Name","Perf/rating","Perf/rating_error"
"256-4-eval_16384_(all+pv[1920]→512)x2→32→1",8.0,4.5
"192-4-eval_16384_(all+pv[1920]→512)x2→32→1",7.5,4.5
"256-1-eval_16384_(all+pv[1920]→512)x2→32→1",6.7,4.6
"192-1-eval_16384_(all+pv[1920]→512)x2→32→1",2.4,4.4
"256-2-eval_16384_(all+pv[1920]→512)x2→32→1",1.8,4.4
"256-3-eval_16384_(all+pv[1920]→512)x2→32→1",0.8,4.2
"192-2-eval_16384_(all+pv[1920]→512)x2→32→1",-5.5,4.6
"192-3-eval_16384_(all+pv[1920]→512)x2→32→1",-21.7,4.7
"256-4-eval_16384_(all+ph[1920]→512)x2→32→1",13.0,4.7
"256-1-eval_16384_(all+ph[1920]→512)x2→32→1",3.8,4.0
"256-2-eval_16384_(all+ph[1920]→512)x2→32→1",3.3,4.7
"192-2-eval_16384_(all+ph[1920]→512)x2→32→1",1.7,4.7
"256-3-eval_16384_(all+ph[1920]→512)x2→32→1",-1.4,4.4
"192-1-eval_16384_(all+ph[1920]→512)x2→32→1",-2.9,4.5
"192-3-eval_16384_(all+ph[1920]→512)x2→32→1",-8.7,4.9
"192-4-eval_16384_(all+ph[1920]→512)x2→32→1",-8.8,4.7
"256-4-eval_16384_(all+ph+pv[3072]→512)x2→32→1",12.0,4.9
"256-2-eval_16384_(all+ph+pv[3072]→512)x2→32→1",7.8,5.5
"256-3-eval_16384_(all+ph+pv[3072]→512)x2→32→1",6.2,5.1
"192-2-eval_16384_(all+ph+pv[3072]→512)x2→32→1",1.7,5.6
"192-4-eval_16384_(all+ph+pv[3072]→512)x2→32→1",0.8,5.3
"192-3-eval_16384_(all+ph+pv[3072]→512)x2→32→1",-5.3,5.0
"256-1-eval_16384_(all+ph+pv[3072]→512)x2→32→1",-5.4,4.9
"192-1-eval_16384_(all+ph+pv[3072]→512)x2→32→1",-17.9,5.4
