"Name","Perf/rating","Perf/rating_error"
"256-2-eval_16384_(all+mb[1536]→512)x2→32→1",12.1,6.5
"256-3-eval_16384_(all+mb[1536]→512)x2→32→1",11.4,5.2
"192-1-eval_16384_(all+mb[1536]→512)x2→32→1",0.1,5.7
"256-4-eval_16384_(all+mb[1536]→512)x2→32→1",0.0,5.7
"192-3-eval_16384_(all+mb[1536]→512)x2→32→1",-2.4,5.2
"192-2-eval_16384_(all+mb[1536]→512)x2→32→1",-6.1,6.1
"256-1-eval_16384_(all+mb[1536]→512)x2→32→1",-7.5,5.9
"192-4-eval_16384_(all+mb[1536]→512)x2→32→1",-7.5,6.0
"256-4-eval_16384_(all+mc[974]→512)x2→32→1",21.5,4.9
"192-4-eval_16384_(all+mc[974]→512)x2→32→1",19.0,5.6
"192-1-eval_16384_(all+mc[974]→512)x2→32→1",15.5,5.2
"256-3-eval_16384_(all+mc[974]→512)x2→32→1",12.6,4.3
"256-2-eval_16384_(all+mc[974]→512)x2→32→1",2.6,5.3
"192-3-eval_16384_(all+mc[974]→512)x2→32→1",0.7,5.4
"256-1-eval_16384_(all+mc[974]→512)x2→32→1",-30.5,5.3
"192-2-eval_16384_(all+mc[974]→512)x2→32→1",-41.5,5.5
