color,fullmove,legal_moves,count
Black,29,44,2123
White,112,12,470
Black,32,25,8082
White,101,6,874
White,186,14,17
White,45,62,1
Black,33,42,1898
Black,80,19,3034
Black,36,9,1626
White,132,1,45
White,149,22,69
White,117,24,212
Black,69,7,2180
Black,29,2,3562
White,86,10,874
Black,65,35,308
Black,48,54,4
White,26,44,4428
White,32,4,3664
Black,152,35,3
White,95,41,11
Black,198,9,7
Black,156,36,1
Black,108,21,395
Black,78,29,673
White,168,25,16
Black,96,9,555
Black,131,8,128
Black,13,63,2
Black,124,37,4
White,145,29,33
Black,173,30,2
White,51,20,7019
Black,39,28,5764
White,133,33,15
Black,16,47,3184
Black,48,23,5448
White,95,17,1209
White,37,14,3728
Black,9,31,11811
White,186,11,13
White,135,18,139
Black,121,19,499
White,38,17,6248
White,171,9,11
White,75,42,46
White,89,37,66
Black,119,19,566
White,148,7,65
Black,197,13,2
Black,67,47,6
White,118,42,4
White,42,51,65
Black,29,59,16
White,73,36,235
White,18,42,10238
Black,102,1,157
White,89,11,939
White,156,31,9
White,173,37,1
Black,113,29,134
White,181,3,8
Black,29,17,4024
White,136,2,50
White,145,21,86
White,31,21,6052
White,24,23,4133
Black,36,37,2826
Black,15,6,608
Black,71,15,3507
Black,73,45,6
Black,98,18,866
Black,82,14,2151
White,19,54,774
Black,119,34,14
White,51,1,834
White,30,19,4494
Black,51,38,441
White,183,27,4
Black,86,34,94
White,88,5,1465
White,19,15,209
Black,78,45,6
Black,149,22,66
White,129,35,7
Black,30,39,4192
White,88,11,977
White,30,7,1024
White,90,39,30
White,71,33,550
White,134,1,47
White,63,7,2296
White,112,35,26
White,45,51,43
White,167,17,33
Black,39,4,5719
White,58,14,4751
White,171,13,34
White,179,14,25
White,68,26,2333
Black,33,6,2765
Black,147,21,59
White,28,53,399
White,136,20,140
White,110,37,8
White,29,65,1
White,61,40,202
White,29,63,7
White,85,48,1
White,21,65,9
White,194,7,6
White,23,51,1428
White,64,4,3467
Black,20,44,4925
Black,29,47,1035
Black,55,2,2904
White,83,16,2112
White,79,42,29
Black,90,52,1
White,81,30,678
White,177,10,20
White,107,44,1
Black,49,46,69
Black,69,16,4036
Black,37,49,186
Black,164,4,32
White,61,48,21
White,58,18,5822
Black,93,49,1
Black,80,38,44
White,114,41,2
Black,109,8,292
White,44,33,3095
Black,95,32,94
Black,39,54,27
Black,94,40,8
Black,196,24,4
White,27,24,6136
Black,54,27,2963
White,110,14,613
White,84,21,1439
White,106,28,280
White,154,29,17
Black,31,4,4465
White,65,50,3
White,12,42,11976
White,112,9,238
White,195,17,11
White,39,34,4086
Black,52,52,4
Black,45,41,448
Black,131,40,1
White,186,17,15
Black,87,27,636
Black,166,35,2
Black,47,56,1
White,94,16,1337
Black,196,7,6
Black,24,34,9312
White,108,9,311
White,27,31,8858
Black,190,10,10
White,63,20,4654
White,152,1,14
White,195,5,9
Black,83,42,16
White,155,46,1
White,73,8,1266
White,127,20,239
Black,12,40,10520
Black,35,49,268
White,70,32,749
Black,129,12,254
Black,48,53,4
Black,104,1,140
Black,145,3,59
Black,135,27,76
White,16,19,386
Black,191,3,11
White,129,43,2
White,152,11,48
White,92,18,1371
White,33,28,8222
White,43,50,88
White,153,12,73
Black,130,11,198
Black,171,17,21
Black,42,57,3
White,133,36,3
White,52,27,4564
White,81,5,1973
Black,21,56,151
Black,49,7,3467
Black,68,16,4114
Black,152,24,44
White,67,19,5135
White,37,51,184
White,133,25,120
White,197,24,5
White,81,29,834
Black,124,14,308
Black,189,2,8
Black,128,37,2
White,10,24,858
White,123,33,25
Black,159,17,58
Black,33,28,7487
Black,59,13,4894
White,82,42,32
Black,23,25,6543
Black,42,26,5910
White,16,6,596
Black,36,24,7918
White,38,26,7867
White,9,61,46
White,117,40,4
Black,117,41,1
White,77,44,17
Black,19,15,412
Black,14,37,12863
Black,43,6,4571
White,92,5,1205
White,130,16,252
White,29,50,858
Black,124,42,1
White,89,36,83
White,65,7,2192
White,194,27,5
Black,133,33,10
Black,79,19,3178
Black,188,10,15
Black,181,18,8
White,42,52,58
White,185,4,11
White,63,10,2038
Black,126,23,113
White,122,16,388
White,121,15,409
Black,175,10,18
Black,195,1,1
Black,78,30,527
White,68,5,3383
White,75,24,1681
Black,124,2,119
White,137,28,57
White,109,19,1022
White,58,27,3508
Black,114,1,90
Black,98,22,856
White,70,21,2869
Black,132,30,45
White,38,48,323
Black,170,12,35
Black,50,53,5
Black,121,29,102
Black,67,50,3
Black,175,34,1
Black,95,4,1031
White,11,50,3227
Black,16,21,1445
Black,162,3,28
Black,86,17,2024
Black,162,16,59
Black,23,47,2159
White,124,23,165
White,171,22,16
White,9,67,2
Black,92,50,1
White,54,25,4600
Black,102,29,218
Black,188,1,3
White,59,34,939
Black,11,1,371
White,131,42,3
White,104,32,121
White,187,11,11
White,146,37,1
White,183,26,7
White,43,28,6030
White,79,23,1425
White,128,37,10
Black,123,27,112
White,23,6,1064
Black,77,17,2902
Black,34,6,2987
Black,63,17,5308
Black,88,15,1709
Black,22,50,1044
White,142,15,144
White,141,44,2
White,24,2,1796
Black,98,19,1569
White,147,36,2
White,154,40,1
Black,14,8,146
White,22,63,11
White,73,27,1711
Black,39,57,6
White,155,9,40
Black,97,32,114
Black,71,44,15
White,22,16,583
Black,47,25,5130
Black,35,28,6999
White,43,13,4087
Black,29,27,8394
Black,153,5,89
White,192,16,7
Black,40,5,5080
Black,193,18,12
Black,69,4,3288
White,13,1,302
Black,158,8,34
Black,59,5,5082
Black,13,3,1549
White,102,16,936
White,78,27,1334
White,9,47,6115
White,48,46,115
Black,60,44,37
Black,13,56,145
White,139,25,73
Black,32,24,8034
Black,119,35,7
Black,193,22,2
White,21,47,4186
Black,95,25,503
White,96,17,1151
White,135,10,90
Black,90,21,903
White,41,42,909
White,41,31,4748
Black,172,34,1
White,48,22,7044
Black,107,30,118
White,98,17,1074
Black,101,29,250
White,32,5,2938
White,21,24,3249
White,19,1,526
White,19,2,1277
White,72,11,1804
White,46,55,6
Black,156,19,72
White,89,42,10
Black,199,21,3
Black,9,7,221
Black,152,29,28
White,14,66,8
White,116,18,400
Black,26,37,7145
White,169,3,17
White,76,4,2206
Black,57,11,3595
Black,42,10,2606
Black,26,62,6
Black,131,22,155
White,113,43,2
White,83,31,432
Black,64,45,24
White,108,45,1
White,41,5,4323
White,117,43,3
Black,151,32,12
Black,62,4,4567
White,91,7,780
Black,63,23,2779
Black,181,7,17
Black,22,29,8870
Black,177,15,24
White,120,6,378
White,107,1,101
White,53,46,88
White,182,18,21
Black,14,65,1
Black,69,49,4
Black,191,12,11
Black,46,12,4669
White,79,33,370
Black,113,4,508
White,190,20,12
Black,79,31,352
White,135,22,169
Black,143,23,60
White,67,41,93
Black,66,26,1891
Black,51,47,32
White,160,2,13
Black,80,46,2
Black,50,50,10
Black,129,26,98
Black,14,57,93
Black,136,22,104
Black,60,48,4
Black,50,28,3109
White,67,45,33
White,70,3,1987
White,102,8,363
White,134,29,52
Black,34,28,7376
White,137,16,174
Black,10,36,13914
Black,148,34,2
Black,192,23,4
White,31,63,5
White,34,21,7047
Black,161,23,23
Black,72,25,1588
White,11,66,1
White,88,27,759
White,116,2,144
Black,143,35,1
White,12,61,63
White,19,35,10818
White,77,8,1005
Black,60,43,51
Black,49,44,131
Black,31,54,100
White,142,29,38
Black,173,24,18
White,191,8,7
Black,46,23,6143
White,14,69,1
Black,113,23,237
White,20,11,78
White,94,46,3
White,92,47,3
White,50,17,7042
White,144,8,57
White,50,49,30
Black,13,38,12572
White,68,27,2110
Black,110,38,11
Black,150,10,56
Black,81,17,2342
Black,33,23,7994
Black,59,6,4497
Black,60,4,4962
Black,42,21,7516
White,26,25,6281
White,32,52,313
Black,109,6,612
White,21,18,802
White,66,38,209
White,135,32,16
Black,55,22,4906
White,72,54,1
White,139,17,147
White,26,39,7574
White,66,24,2670
White,54,50,19
White,184,4,14
White,180,22,15
Black,181,32,2
Black,73,2,1300
Black,52,62,1
White,16,23,1166
Black,77,24,1224
White,171,18,18
Black,124,25,132
White,28,49,1297
White,139,22,120
White,171,32,4
Black,158,10,40
Black,75,5,2741
Black,20,26,6095
White,47,22,7094
White,80,16,2355
Black,65,1,682
White,10,16,56
Black,146,29,33
Black,149,29,24
White,154,1,8
White,118,11,266
White,169,33,1
Black,38,5,4832
White,10,36,12510
Black,43,15,7142
Black,44,12,4392
White,65,37,327
White,27,14,951
White,129,15,251
Black,106,4,630
Black,184,1,3
White,146,36,1
Black,93,52,1
Black,93,30,265
White,102,31,173
White,150,5,79
Black,107,16,807
White,69,46,24
White,37,42,1578
White,28,35,8075
White,102,7,483
White,156,11,58
Black,178,9,16
Black,160,25,23
White,51,55,2
Black,171,1,7
Black,121,30,61
Black,72,37,118
White,164,9,20
White,89,5,1352
Black,132,20,139
Black,186,8,7
White,75,19,3787
White,55,32,1721
Black,13,44,6013
Black,81,21,1437
White,13,25,1352
Black,79,26,1020
White,54,34,1269
Black,157,25,23
White,146,31,13
Black,52,47,29
Black,112,38,4
White,190,49,1
Black,93,22,987
White,46,24,6760
Black,15,11,36
White,160,6,51
White,160,15,48
Black,157,33,2
Black,16,27,5707
Black,23,64,1
White,20,43,8398
Black,15,34,12405
White,46,32,3069
White,117,31,64
White,137,24,77
White,185,16,24
Black,9,17,134
White,53,45,94
White,153,32,5
Black,39,58,7
White,178,24,13
White,84,19,2717
White,96,16,1234
Black,151,27,34
White,167,18,41
Black,177,30,8
White,107,6,695
Black,81,44,4
Black,88,28,495
Black,63,48,8
White,61,49,10
White,141,29,41
White,86,23,934
White,167,25,14
Black,83,29,550
Black,58,5,5049
Black,173,10,23
Black,14,63,2
Black,75,42,22
Black,52,53,5
White,58,7,2607
White,123,4,287
White,99,31,215
White,18,66,3
Black,111,6,577
White,14,17,134
Black,157,34,1
White,50,14,5473
White,32,43,2674
Black,38,14,5239
Black,24,60,17
Black,144,3,62
Black,12,46,3781
White,188,21,10
Black,200,25,5
White,167,21,27
Black,17,21,1730
White,132,15,200
Black,101,33,79
White,67,26,2425
White,167,22,45
White,197,16,11
Black,124,18,244
White,10,10,19
Black,53,41,165
White,128,25,139
White,92,34,115
White,142,28,51
Black,10,16,102
Black,16,30,8955
Black,137,35,4
Black,77,1,392
Black,78,44,14
Black,48,1,1379
Black,69,45,13
Black,44,20,7783
Black,35,29,6607
White,152,23,35
Black,48,20,7181
Black,11,53,437
Black,68,9,1811
White,10,57,318
Black,185,21,7
Black,33,13,2929
White,168,33,2
White,80,10,1027
Black,15,48,2471
White,73,13,2507
Black,77,37,71
Black,59,20,4955
White,79,29,908
White,112,7,311
White,136,6,175
Black,71,36,171
Black,48,43,182
White,104,2,227
White,149,1,18
White,75,10,1232
White,61,22,4414
