network,epoch,rating,error
all,1,-872.1,51.4
all,12,58.9,19.7
all,128,361.7,21.6
all,16,142.9,17.8
all,160,406.1,25.1
all,192,404.6,27.5
all,2,-308.0,27.5
all,20,216.2,19.3
all,24,229.6,17.4
all,256,415.2,23.6
all,28,265.2,19.4
all,32,320.7,21.3
all,4,-87.3,23.2
all,64,347.6,23.3
all,8,55.7,19.5
all,96,366.1,23.5
m2,1,-1015.5,72.9
m2,12,-26.4,19.8
m2,128,136.9,20.4
m2,16,48.3,18.0
m2,160,149.6,18.8
m2,192,133.3,20.6
m2,2,-484.9,36.9
m2,20,62.7,17.8
m2,24,78.1,20.2
m2,256,150.5,21.3
m2,28,80.5,18.3
m2,32,97.2,20.4
m2,4,-236.4,22.6
m2,64,113.6,19.4
m2,8,-100.3,21.9
m2,96,113.5,20.8
m8,1,-952.5,58.6
m8,12,-83.9,20.6
m8,128,150.7,20.3
m8,16,10.0,20.4
m8,160,155.6,21.0
m8,192,147.0,17.8
m8,2,-465.0,33.0
m8,20,51.0,20.5
m8,24,77.5,18.0
m8,256,169.3,20.5
m8,28,83.0,21.9
m8,32,93.7,20.2
m8,4,-259.7,29.4
m8,64,119.4,20.5
m8,8,-130.8,23.6
m8,96,144.0,18.4
m15,1,-1011.7,66.7
m15,12,-43.7,20.3
m15,128,120.8,19.1
m15,16,30.8,19.1
m15,160,127.1,21.1
m15,192,155.4,19.2
m15,2,-545.9,37.4
m15,20,46.5,21.9
m15,24,65.4,17.9
m15,256,153.9,18.5
m15,28,79.8,20.0
m15,32,63.0,18.4
m15,4,-291.9,26.8
m15,64,115.0,18.8
m15,8,-123.9,19.9
m15,96,126.3,21.3
