"Name","Puzzles/moveAccuracy.max","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","arch","batch_size","checkpoint_interval","command","dataset","epoch_size","epochs","feature_set","gamma","l1_size","l2_size","learning_rate","method","metric.goal","metric.name","name","notes","num_features","parameters.batch_sizes","parameters.epochss","parameters.feature_sets","parameters.gammas","parameters.l1_sizes","parameters.l2_sizes","parameters.learning_rates","parameters.wandb_projects","perf_interval","program","puzzle_interval","wandb_project","Puzzles/advancedPawn","Puzzles/advantage","Puzzles/attackingF2F7","Puzzles/attraction","Puzzles/bishopEndgame","Puzzles/capturingDefender","Puzzles/castling","Puzzles/clearance","Puzzles/crushing","Puzzles/defensiveMove","Puzzles/deflection","Puzzles/discoveredAttack","Puzzles/doubleCheck","Puzzles/enPassant","Puzzles/endgame","Puzzles/equality","Puzzles/exposedKing","Puzzles/fork","Puzzles/hangingPiece","Puzzles/interference","Puzzles/intermezzo","Puzzles/kingsideAttack","Puzzles/knightEndgame","Puzzles/long","Puzzles/master","Puzzles/masterVsMaster","Puzzles/middlegame","Puzzles/opening","Puzzles/pawnEndgame","Puzzles/pin","Puzzles/promotion","Puzzles/queenEndgame","Puzzles/queenRookEndgame","Puzzles/queensideAttack","Puzzles/quietMove","Puzzles/rating1000to1199","Puzzles/rating1200to1399","Puzzles/rating1400to1599","Puzzles/rating1600to1799","Puzzles/rating1800to1999","Puzzles/rating2000to2199","Puzzles/rating2200to2399","Puzzles/rating2400to2599","Puzzles/rating2600to2799","Puzzles/rating2800to2999","Puzzles/rookEndgame","Puzzles/sacrifice","Puzzles/short","Puzzles/skewer","Puzzles/superGM","Puzzles/trappedPiece","Puzzles/underPromotion","Puzzles/veryLong","Puzzles/xRayAttack","Puzzles/zugzwang","Train/lr","Train/samples","Train/train_loss.min","Train/val_loss.min","Weight/mean-l1","Weight/mean-l2","Weight/mean-out"
"eval_16384_(hv[768]→512)x2→32→1","0.9035560344827588","","finished","-","","","2024-09-09T04:53:02.000Z","6868","ej4vxab3","eval_16384_(hv[768]→512)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","512","32","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7820895522388059","0.8152654867256637","0.7777777777777778","0.7393939393939394","0.7469879518072289","0.8842105263157894","0.7446808510638298","0.5930232558139535","0.7496839443742098","0.6136363636363636","0.7908496732026143","0.8476190476190476","0.8157894736842105","0.788235294117647","0.7598360655737705","0.9135802469135802","0.6708860759493671","0.8713450292397661","0.8316831683168316","0.8522727272727273","0.8901098901098901","0.7142857142857143","0.7411764705882353","0.7768878718535469","0.8050314465408805","0.8137254901960784","0.7888040712468194","0.8323353293413174","0.6036585365853658","0.7692307692307693","0.8011049723756906","0.7708333333333334","0.9411764705882352","0.7804878048780488","0.4705882352941176","0.9678899082568808","0.9758064516129032","0.9473684210526316","0.9484536082474226","0.879746835443038","0.8012422360248447","0.7212543554006968","0.555045871559633","0.430939226519337","0.2087912087912088","0.7022900763358778","0.6628352490421456","0.896404109589041","0.8901098901098901","0.7922077922077922","0.8709677419354839","0.8048780487804879","0.5161904761904762","0.9545454545454546","0.5058823529411764","0.00003815749195329693","25702039552","0.0030559118123292353","0.0030930673911715124","-0.02729110047221184","-0.0016256478847935796","0.13115666806697843"
"eval_16384_(hv[768]→256)x2→32→1","0.8985721982758621","","finished","-","","","2024-09-08T20:02:18.000Z","6839","ej4vxab3","eval_16384_(hv[768]→256)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","256","32","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.755223880597015","0.8351769911504425","0.8","0.7636363636363637","0.6867469879518072","0.8842105263157894","0.6914893617021277","0.6046511627906976","0.7395701643489254","0.6392045454545454","0.7712418300653595","0.8571428571428571","0.8157894736842105","0.7647058823529411","0.75","0.9012345679012346","0.6708860759493671","0.8859649122807017","0.8910891089108911","0.875","0.912087912087912","0.7301587301587301","0.7647058823529411","0.7665903890160183","0.8050314465408805","0.8529411764705882","0.7998303647158609","0.8383233532934131","0.5792682926829268","0.755656108597285","0.7900552486187845","0.7291666666666666","0.9411764705882352","0.7804878048780488","0.4666666666666667","0.9541284403669724","0.9758064516129032","0.9539473684210528","0.9415807560137456","0.8924050632911392","0.8136645962732919","0.7247386759581882","0.5412844036697247","0.4143646408839779","0.21428571428571427","0.732824427480916","0.6973180076628352","0.8929794520547946","0.9010989010989012","0.8831168831168831","0.935483870967742","0.8048780487804879","0.5428571428571428","0.9772727272727272","0.4941176470588235","0.00003815749195329693","25702039552","0.003485173669951598","0.0035122049086816244","-0.015053074806928636","-0.002695904579013586","-0.020585013553500175"
"eval_16384_(hv[768]→2048)x2→32→1","0.8953394396551724","","finished","-","","","2024-09-09T16:48:16.000Z","11516","ej4vxab3","eval_16384_(hv[768]→2048)x2→32→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","2048","32","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7283582089552239","0.8097345132743363","0.7555555555555555","0.7333333333333333","0.6867469879518072","0.8736842105263158","0.7659574468085106","0.627906976744186","0.7231352718078382","0.6051136363636364","0.7647058823529411","0.8142857142857143","0.7631578947368421","0.7647058823529411","0.7336065573770492","0.9135802469135802","0.6012658227848101","0.8450292397660819","0.8415841584158416","0.8068181818181818","0.8901098901098901","0.6904761904761905","0.7176470588235294","0.7517162471395881","0.7861635220125787","0.7941176470588235","0.7701441899915182","0.874251497005988","0.5853658536585366","0.6923076923076923","0.7624309392265194","0.7291666666666666","0.8529411764705882","0.8048780487804879","0.4745098039215686","0.963302752293578","0.9758064516129032","0.9473684210526316","0.9347079037800688","0.8481012658227848","0.7732919254658385","0.6933797909407665","0.5229357798165137","0.3756906077348066","0.21978021978021975","0.7175572519083969","0.6398467432950191","0.886986301369863","0.8351648351648352","0.8181818181818182","0.9032258064516128","0.7317073170731707","0.4895238095238095","0.9090909090909092","0.4235294117647059","0.00003815749195329693","25702039552","0.002364760696581903","0.002409604050457304","-0.04641946777701378","-0.0000889879884198308","0.04865783825516701"
"eval_16384_(hv[768]→512)x2→64→1","0.8950700431034483","","finished","-","","","2024-09-09T06:47:35.000Z","6824","ej4vxab3","eval_16384_(hv[768]→512)x2→64→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","512","64","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.746268656716418","0.7986725663716814","0.7777777777777778","0.7333333333333333","0.7228915662650602","0.8526315789473684","0.7659574468085106","0.5930232558139535","0.7319848293299621","0.6107954545454546","0.7320261437908496","0.8523809523809524","0.7631578947368421","0.7294117647058823","0.7491803278688525","0.8888888888888888","0.6645569620253164","0.8508771929824561","0.8613861386138614","0.8522727272727273","0.8901098901098901","0.6825396825396826","0.7176470588235294","0.7471395881006865","0.7767295597484277","0.8529411764705882","0.7616624257845632","0.8323353293413174","0.5853658536585366","0.7013574660633484","0.7955801104972375","0.7291666666666666","0.9411764705882352","0.7560975609756098","0.4509803921568627","0.9495412844036696","0.9838709677419356","0.9375","0.9484536082474226","0.8639240506329114","0.8074534161490683","0.6968641114982579","0.5091743119266054","0.30386740331491713","0.22527472527472528","0.7709923664122137","0.6360153256704981","0.8852739726027398","0.8461538461538461","0.8051948051948052","0.8924731182795699","0.7926829268292683","0.5047619047619047","0.9090909090909092","0.4705882352941176","0.00003815749195329693","25702039552","0.0029603955021608977","0.002999189472817443","-0.024433951824903488","-0.0017978970427066088","0.010539437644183636"
"eval_16384_(hv[768]→256)x2→64→1","0.8949353448275862","","finished","-","","","2024-09-08T21:56:23.000Z","6896","ej4vxab3","eval_16384_(hv[768]→256)x2→64→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","256","64","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7582089552238805","0.8042035398230089","0.8","0.7575757575757576","0.7469879518072289","0.8736842105263158","0.7446808510638298","0.5930232558139535","0.7357774968394437","0.5823863636363636","0.7973856209150327","0.8380952380952381","0.7368421052631579","0.7411764705882353","0.7426229508196721","0.9012345679012346","0.6455696202531646","0.8742690058479532","0.8316831683168316","0.8068181818181818","0.8791208791208791","0.6904761904761905","0.7764705882352941","0.7437070938215103","0.7955974842767296","0.8333333333333334","0.7786259541984732","0.8383233532934131","0.573170731707317","0.7375565610859729","0.8011049723756906","0.6666666666666666","0.9117647058823528","0.7317073170731707","0.5019607843137255","0.944954128440367","0.9717741935483872","0.9473684210526316","0.9347079037800688","0.8734177215189873","0.7950310559006211","0.7038327526132404","0.5596330275229358","0.3370165745856354","0.21978021978021975","0.7022900763358778","0.6704980842911877","0.8878424657534246","0.8461538461538461","0.8441558441558441","0.913978494623656","0.8048780487804879","0.5276190476190477","0.9318181818181818","0.4588235294117647","0.00003815749195329693","25702039552","0.003385823968246208","0.0034223093142256487","-0.012825342826545238","-0.0028054341673851013","-0.022484639659523964"
"eval_16384_(hv[768]→1024)x2→64→1","0.8919719827586207","","finished","-","","","2024-09-09T12:34:55.000Z","7421","ej4vxab3","eval_16384_(hv[768]→1024)x2→64→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","1024","64","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.746268656716418","0.793141592920354","0.8222222222222222","0.7454545454545455","0.6867469879518072","0.8842105263157894","0.7127659574468085","0.5813953488372093","0.7250316055625791","0.6079545454545454","0.7908496732026143","0.8428571428571429","0.7631578947368421","0.7176470588235294","0.740983606557377","0.925925925925926","0.6392405063291139","0.8567251461988304","0.8316831683168316","0.8409090909090909","0.8571428571428571","0.6825396825396826","0.7647058823529411","0.7368421052631579","0.7924528301886793","0.8137254901960784","0.7633587786259542","0.8023952095808383","0.5365853658536586","0.7013574660633484","0.7955801104972375","0.7291666666666666","0.8823529411764706","0.7804878048780488","0.4588235294117647","0.944954128440367","0.9758064516129032","0.9473684210526316","0.9175257731958762","0.8386075949367089","0.7639751552795031","0.710801393728223","0.5229357798165137","0.40331491712707185","0.1868131868131868","0.7557251908396947","0.6475095785440613","0.8784246575342466","0.8791208791208791","0.8441558441558441","0.8709677419354839","0.8048780487804879","0.5123809523809524","0.8409090909090909","0.4235294117647059","0.00003815749195329693","25702039552","0.0026099375308903856","0.0026500477974161084","-0.037123873829841614","-0.0025376291014254093","-0.026797495782375336"
"eval_16384_(hv[768]→512)x2→128→1","0.8882004310344828","","finished","-","","","2024-09-09T08:41:29.000Z","6666","ej4vxab3","eval_16384_(hv[768]→512)x2→128→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","512","128","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7194029850746269","0.790929203539823","0.7333333333333333","0.7454545454545455","0.6626506024096386","0.8526315789473684","0.7553191489361702","0.5348837209302325","0.7174462705436156","0.6051136363636364","0.7189542483660131","0.8285714285714286","0.8421052631578947","0.7294117647058823","0.7352459016393442","0.9135802469135802","0.5759493670886076","0.8538011695906432","0.8217821782178217","0.7386363636363636","0.8901098901098901","0.6507936507936508","0.7529411764705882","0.7471395881006865","0.7924528301886793","0.8235294117647058","0.7591178965224766","0.7904191616766467","0.573170731707317","0.6877828054298643","0.7458563535911602","0.75","0.8823529411764706","0.7560975609756098","0.4235294117647059","0.9495412844036696","0.967741935483871","0.930921052631579","0.9209621993127148","0.8734177215189873","0.7732919254658385","0.6898954703832753","0.5045871559633027","0.3259668508287293","0.1868131868131868","0.7480916030534351","0.6398467432950191","0.8767123287671232","0.8571428571428571","0.8701298701298701","0.8817204301075269","0.7439024390243902","0.4704761904761905","0.9090909090909092","0.4588235294117647","0.00003815749195329693","25702039552","0.002855307881297424","0.0029026419134902015","-0.021760625764727592","-0.008093466982245445","0.004180310759693384"
"eval_16384_(hv[768]→2048)x2→64→1","0.8861799568965517","","finished","-","","","2024-09-09T20:00:21.000Z","11566","ej4vxab3","eval_16384_(hv[768]→2048)x2→64→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","2048","64","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7313432835820896","0.793141592920354","0.8","0.7333333333333333","0.7228915662650602","0.8947368421052632","0.723404255319149","0.5581395348837209","0.7243994943109987","0.6164772727272727","0.7647058823529411","0.8333333333333334","0.7105263157894737","0.7647058823529411","0.7319672131147541","0.8765432098765432","0.6645569620253164","0.8508771929824561","0.8118811881188119","0.8295454545454546","0.9230769230769232","0.7301587301587301","0.7411764705882353","0.7459954233409611","0.789308176100629","0.8431372549019608","0.7650551314673452","0.8263473053892215","0.5975609756097561","0.7194570135746606","0.7569060773480663","0.7083333333333334","0.9117647058823528","0.7560975609756098","0.4784313725490196","0.9403669724770642","0.9717741935483872","0.930921052631579","0.9278350515463918","0.8417721518987342","0.7515527950310559","0.7177700348432056","0.5321100917431193","0.3867403314917127","0.19230769230769232","0.732824427480916","0.6513409961685823","0.872431506849315","0.8131868131868132","0.8051948051948052","0.8387096774193549","0.7560975609756098","0.5009523809523809","0.8863636363636364","0.4588235294117647","0.00003815749195329693","25702039552","0.002350820264522551","0.0023826804500583377","-0.04688511788845062","-0.004997808486223221","-0.042028822004795074"
"eval_16384_(hv[768]→256)x2→128→1","0.8830818965517241","","finished","-","","","2024-09-08T23:51:25.000Z","6749","ej4vxab3","eval_16384_(hv[768]→256)x2→128→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","256","128","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7373134328358208","0.7831858407079646","0.7333333333333333","0.7212121212121212","0.6987951807228916","0.8631578947368421","0.6914893617021277","0.46511627906976744","0.7111251580278128","0.5625","0.7516339869281046","0.8238095238095238","0.6842105263157895","0.7647058823529411","0.728688524590164","0.9012345679012346","0.6265822784810127","0.8508771929824561","0.7821782178217822","0.7613636363636364","0.8351648351648352","0.6587301587301587","0.7529411764705882","0.7517162471395881","0.7515723270440252","0.7843137254901961","0.7540288379983037","0.7604790419161677","0.5304878048780488","0.7239819004524887","0.7845303867403315","0.7291666666666666","0.8823529411764706","0.8292682926829268","0.4274509803921568","0.9541284403669724","0.9717741935483872","0.9210526315789472","0.9140893470790378","0.8417721518987342","0.7577639751552795","0.6724738675958188","0.47706422018348627","0.3701657458563536","0.2032967032967033","0.6717557251908397","0.6283524904214559","0.8561643835616438","0.8571428571428571","0.8051948051948052","0.8494623655913979","0.7926829268292683","0.4742857142857143","0.8863636363636364","0.4235294117647059","0.00003815749195329693","25702039552","0.003274828182488526","0.003302351309309018","-0.013271711766719818","-0.007940609939396381","0.006528050638735294"
"eval_16384_(hv[768]→1024)x2→128→1","0.8802532327586207","","finished","-","","","2024-09-09T14:38:43.000Z","7599","ej4vxab3","eval_16384_(hv[768]→1024)x2→128→1","16384","32","","/mnt/c/datasets/compact.plain","100007936","256","hv","0.99","1024","128","0.0005","eval","","","","","768","","","","","","","","","0","","8","cs-master-thesis","0.7164179104477612","0.7754424778761062","0.6666666666666666","0.6848484848484848","0.7228915662650602","0.8736842105263158","0.723404255319149","0.5348837209302325","0.7168141592920354","0.5965909090909091","0.738562091503268","0.8333333333333334","0.6578947368421053","0.7176470588235294","0.739344262295082","0.9506172839506172","0.5822784810126582","0.8362573099415205","0.8217821782178217","0.7727272727272727","0.8901098901098901","0.6349206349206349","0.788235294117647","0.7402745995423341","0.7547169811320755","0.7647058823529411","0.7446988973706531","0.7844311377245509","0.5853658536585366","0.6877828054298643","0.7513812154696132","0.7708333333333334","0.8235294117647058","0.7804878048780488","0.4431372549019608","0.9403669724770642","0.9798387096774194","0.9572368421052632","0.9243986254295532","0.8322784810126582","0.7298136645962733","0.6898954703832753","0.5045871559633027","0.3370165745856354","0.2032967032967033","0.7099236641221374","0.578544061302682","0.8767123287671232","0.8131868131868132","0.7922077922077922","0.8602150537634409","0.7439024390243902","0.45904761904761904","0.8636363636363636","0.4352941176470588","0.00003815749195329693","25702039552","0.002528998938422384","0.0025672734455140524","-0.032246850430965424","-0.004960368387401104","-0.0008246609941124916"
